BBRefName,BBRefLink,BBRefID,BBRefBirthDate,NBAName,NBALink,NBAID,NBABirthDate,ESPNName,ESPNLink,ESPNID,ESPNBirthDate,SpotracName,SpotracLink,SpotracID
Amir Johnson,https://www.basketball-reference.com/players/j/johnsam01.html,johnsam01,5/1/1987,Amir Johnson,https://stats.nba.com/player/101161/,101161,5/1/1987,Amir Johnson,http://www.espn.com/nba/player/_/id/2769/amir-johnson,2769,5/1/1987,Amir Johnson,https://www.spotrac.com/redirect/player/2304/,2304
Andray Blatche,https://www.basketball-reference.com/players/b/blatcan01.html,blatcan01,8/22/1986,Andray Blatche,https://stats.nba.com/player/101154/,101154,8/22/1986,Andray Blatche,http://www.espn.com/nba/player/_/id/2746/andray-blatche,2746,8/22/1986,Andray Blatche,https://www.spotrac.com/redirect/player/2759/,2759
Andre Dawkins,https://www.basketball-reference.com/players/d/dawkian01.html,dawkian01,9/19/1991,Andre Dawkins,https://stats.nba.com/player/203958/,203958,9/19/1991,Andre Dawkins,http://www.espn.com/nba/player/_/id/2488650/andre-dawkins,2488650,9/19/1991,Andre Dawkins,https://www.spotrac.com/redirect/player/15847/,15847
Andre Drummond,https://www.basketball-reference.com/players/d/drumman01.html,drumman01,8/10/1993,Andre Drummond,https://stats.nba.com/player/203083/,203083,8/10/1993,Andre Drummond,http://www.espn.com/nba/player/_/id/6585/andre-drummond,6585,8/10/1993,Andre Drummond,https://www.spotrac.com/redirect/player/10817/,10817
Andre Iguodala,https://www.basketball-reference.com/players/i/iguodan01.html,iguodan01,1/28/1984,Andre Iguodala,https://stats.nba.com/player/2738/,2738,1/28/1984,Andre Iguodala,http://www.espn.com/nba/player/_/id/2386/andre-iguodala,2386,1/28/1984,Andre Iguodala,https://www.spotrac.com/redirect/player/2652/,2652
Andre Ingram,https://www.basketball-reference.com/players/i/ingraan01.html,ingraan01,11/19/1985,Andre Ingram,https://stats.nba.com/player/201281/,201281,11/19/1985,Andre Ingram,http://www.espn.com/nba/player/_/id/2141179/andre-ingram,2141179,11/19/1985,Andre Ingram,https://www.spotrac.com/redirect/player/25076/,25076
Andre Miller,https://www.basketball-reference.com/players/m/millean02.html,millean02,3/19/1976,Andre Miller,https://stats.nba.com/player/1889/,1889,3/19/1976,Andre Miller,http://www.espn.com/nba/player/_/id/557/andre-miller,557,3/19/1976,Andre Miller,https://www.spotrac.com/redirect/player/2653/,2653
Andre Roberson,https://www.basketball-reference.com/players/r/roberan03.html,roberan03,12/4/1991,Andre Roberson,https://stats.nba.com/player/203460/,203460,12/4/1991,Andre Roberson,http://www.espn.com/nba/player/_/id/2530596/andre-roberson,2530596,12/4/1991,Andre Roberson,https://www.spotrac.com/redirect/player/13339/,13339
Andrea Bargnani,https://www.basketball-reference.com/players/b/bargnan01.html,bargnan01,10/26/1985,Andrea Bargnani,https://stats.nba.com/player/200745/,200745,10/26/1985,Andrea Bargnani,http://www.espn.com/nba/player/_/id/2987/andrea-bargnani,2987,10/26/1985,Andrea Bargnani,https://www.spotrac.com/redirect/player/2730/,2730
Andrei Kirilenko,https://www.basketball-reference.com/players/k/kirilan01.html,kirilan01,2/18/1981,Andrei Kirilenko,https://stats.nba.com/player/1905/,1905,2/18/1981,Andrei Kirilenko,http://www.espn.com/nba/player/_/id/434/andrei-kirilenko,434,2/18/1981,Andrei Kirilenko,https://www.spotrac.com/redirect/player/2751/,2751
Andrew Bogut,https://www.basketball-reference.com/players/b/bogutan01.html,bogutan01,11/28/1984,Andrew Bogut,https://stats.nba.com/player/101106/,101106,11/28/1984,Andrew Bogut,http://www.espn.com/nba/player/_/id/2747/andrew-bogut,2747,11/28/1984,Andrew Bogut,https://www.spotrac.com/redirect/player/2560/,2560
Andrew Bynum,https://www.basketball-reference.com/players/b/bynuman01.html,bynuman01,10/27/1987,Andrew Bynum,https://stats.nba.com/player/101115/,101115,10/27/1987,Andrew Bynum,http://www.espn.com/nba/player/_/id/2748/andrew-bynum,2748,10/27/1987,Andrew Bynum,https://www.spotrac.com/redirect/player/2515/,2515
Andrew Goudelock,https://www.basketball-reference.com/players/g/goudean01.html,goudean01,12/7/1988,Andrew Goudelock,https://stats.nba.com/player/202726/,202726,12/7/1988,Andrew Goudelock,http://www.espn.com/nba/player/_/id/6435/andrew-goudelock,6435,12/7/1988,Andrew Goudelock,https://www.spotrac.com/redirect/player/8098/,8098
Andrew Harrison,https://www.basketball-reference.com/players/h/harrian01.html,harrian01,10/28/1994,Andrew Harrison,https://stats.nba.com/player/1626150/,1626150,10/28/1994,Andrew Harrison,http://www.espn.com/nba/player/_/id/3064511/andrew-harrison,3064511,10/28/1994,Andrew Harrison,https://www.spotrac.com/redirect/player/17872/,17872
Andrew Nicholson,https://www.basketball-reference.com/players/n/nichoan01.html,nichoan01,12/8/1989,Andrew Nicholson,https://stats.nba.com/player/203094/,203094,12/8/1989,Andrew Nicholson,http://www.espn.com/nba/player/_/id/6614/andrew-nicholson,6614,12/8/1989,Andrew Nicholson,https://www.spotrac.com/redirect/player/10844/,10844
Andrew White,https://www.basketball-reference.com/players/w/whitean01.html,whitean01,6/16/1993,Andrew White III,https://stats.nba.com/player/1628510/,1628510,6/16/1993,Andrew White III,http://www.espn.com/nba/player/_/id/2990972/andrew-white-iii,2990972,6/16/1993,Andrew White,https://www.spotrac.com/redirect/player/24383/,24383
Andrew Wiggins,https://www.basketball-reference.com/players/w/wiggian01.html,wiggian01,2/23/1995,Andrew Wiggins,https://stats.nba.com/player/203952/,203952,2/23/1995,Andrew Wiggins,http://www.espn.com/nba/player/_/id/3059319/andrew-wiggins,3059319,2/23/1995,Andrew Wiggins,https://www.spotrac.com/redirect/player/15353/,15353
Anfernee Hardaway,https://www.basketball-reference.com/players/h/hardaan01.html,hardaan01,7/18/1971,Anfernee Hardaway,https://stats.nba.com/player/358/,358,7/18/1971,NA,NA,NA,NA,Anfernee Hardaway,https://www.spotrac.com/redirect/player/13457/,13457
Anfernee Simons,https://www.basketball-reference.com/players/s/simonan01.html,simonan01,6/8/1999,Anfernee Simons,https://stats.nba.com/player/1629014/,1629014,6/8/1999,Anfernee Simons,http://www.espn.com/nba/player/_/id/4351851/anfernee-simons,4351851,6/8/1999,Anfernee Simons,https://www.spotrac.com/redirect/player/26990/,26990
Antawn Jamison,https://www.basketball-reference.com/players/j/jamisan01.html,jamisan01,6/12/1976,Antawn Jamison,https://stats.nba.com/player/1712/,1712,6/12/1976,Antawn Jamison,http://www.espn.com/nba/player/_/id/385/antawn-jamison,385,6/12/1976,Antawn Jamison,https://www.spotrac.com/redirect/player/2763/,2763
Anthony Bennett,https://www.basketball-reference.com/players/b/bennean01.html,bennean01,3/14/1993,Anthony Bennett,https://stats.nba.com/player/203461/,203461,3/14/1993,Anthony Bennett,http://www.espn.com/nba/player/_/id/2991473/anthony-bennett,2991473,3/14/1993,Anthony Bennett,https://www.spotrac.com/redirect/player/13314/,13314
Anthony Brown,https://www.basketball-reference.com/players/b/brownan02.html,brownan02,10/10/1992,Anthony Brown,https://stats.nba.com/player/1626148/,1626148,10/10/1992,Anthony Brown,http://www.espn.com/nba/player/_/id/2531362/anthony-brown,2531362,10/10/1992,Anthony Brown,https://www.spotrac.com/redirect/player/17862/,17862
Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html,davisan02,3/11/1993,Anthony Davis,https://stats.nba.com/player/203076/,203076,3/11/1993,Anthony Davis,http://www.espn.com/nba/player/_/id/6583/anthony-davis,6583,3/11/1993,Anthony Davis,https://www.spotrac.com/redirect/player/10809/,10809
Anthony Morrow,https://www.basketball-reference.com/players/m/morroan01.html,morroan01,9/27/1985,Anthony Morrow,https://stats.nba.com/player/201627/,201627,9/27/1985,Anthony Morrow,http://www.espn.com/nba/player/_/id/3474/anthony-morrow,3474,9/27/1985,Anthony Morrow,https://www.spotrac.com/redirect/player/6109/,6109
Anthony Parker,https://www.basketball-reference.com/players/p/parkean01.html,parkean01,6/19/1975,Anthony Parker,https://stats.nba.com/player/1515/,1515,6/19/1975,Anthony Parker,http://www.espn.com/nba/player/_/id/635/anthony-parker,635,6/19/1975,Anthony Parker,https://www.spotrac.com/redirect/player/2743/,2743
Anthony Randolph,https://www.basketball-reference.com/players/r/randoan01.html,randoan01,7/15/1989,Anthony Randolph,https://stats.nba.com/player/201576/,201576,7/15/1989,Anthony Randolph,http://www.espn.com/nba/player/_/id/3455/anthony-randolph,3455,7/15/1989,Anthony Randolph,https://www.spotrac.com/redirect/player/6110/,6110
Anthony Tolliver,https://www.basketball-reference.com/players/t/tollian01.html,tollian01,6/1/1985,Anthony Tolliver,https://stats.nba.com/player/201229/,201229,6/1/1985,Anthony Tolliver,http://www.espn.com/nba/player/_/id/3276/anthony-tolliver,3276,6/1/1985,Anthony Tolliver,https://www.spotrac.com/redirect/player/6483/,6483
Antoine Walker,https://www.basketball-reference.com/players/w/walkean02.html,walkean02,8/12/1976,Antoine Walker,https://stats.nba.com/player/952/,952,8/12/1976,NA,NA,NA,NA,Antoine Walker,https://www.spotrac.com/redirect/player/11431/,11431
Antonio Blakeney,https://www.basketball-reference.com/players/b/blakean01.html,blakean01,10/4/1996,Antonio Blakeney,https://stats.nba.com/player/1628469/,1628469,10/4/1996,Antonio Blakeney,http://www.espn.com/nba/player/_/id/3907386/antonio-blakeney,3907386,10/4/1996,Antonio Blakeney,https://www.spotrac.com/redirect/player/24223/,24223
Antonio McDyess,https://www.basketball-reference.com/players/m/mcdyean01.html,mcdyean01,9/7/1974,Antonio McDyess,https://stats.nba.com/player/686/,686,9/7/1974,NA,NA,NA,NA,Antonio McDyess,https://www.spotrac.com/redirect/player/2306/,2306
Antonius Cleveland,https://www.basketball-reference.com/players/c/clevean01.html,clevean01,2/2/1994,Antonius Cleveland,https://stats.nba.com/player/1628499/,1628499,2/2/1994,Antonius Cleveland,http://www.espn.com/nba/player/_/id/3064237/antonius-cleveland,3064237,2/2/1994,Antonius Cleveland,https://www.spotrac.com/redirect/player/24370/,24370
Archie Goodwin,https://www.basketball-reference.com/players/g/goodwar01.html,goodwar01,8/17/1994,Archie Goodwin,https://stats.nba.com/player/203462/,203462,8/17/1994,Archie Goodwin,http://www.espn.com/nba/player/_/id/2991281/archie-goodwin,2991281,8/17/1994,Archie Goodwin,https://www.spotrac.com/redirect/player/13342/,13342
Arinze Onuaku,https://www.basketball-reference.com/players/o/onuakar01.html,onuakar01,7/13/1987,Arinze Onuaku,https://stats.nba.com/player/202620/,202620,7/13/1987,Arinze Onuaku,http://www.espn.com/nba/player/_/id/2202117/arinze-onuaku,2202117,7/13/1987,Arinze Onuaku,https://www.spotrac.com/redirect/player/13510/,13510
Armon Johnson,https://www.basketball-reference.com/players/j/johnsar02.html,johnsar02,2/23/1989,Armon Johnson,https://stats.nba.com/player/202356/,202356,2/23/1989,Armon Johnson,http://www.espn.com/nba/player/_/id/4279/armon-johnson,4279,2/23/1989,Armon Johnson,https://www.spotrac.com/redirect/player/6916/,6916
Arnett Moultrie,https://www.basketball-reference.com/players/m/moultar01.html,moultar01,11/18/1990,Arnett Moultrie,https://stats.nba.com/player/203102/,203102,11/18/1990,Arnett Moultrie,http://www.espn.com/nba/player/_/id/6612/arnett-moultrie,6612,11/18/1990,Arnett Moultrie,https://www.spotrac.com/redirect/player/10852/,10852
Aron Baynes,https://www.basketball-reference.com/players/b/baynear01.html,baynear01,12/9/1986,Aron Baynes,https://stats.nba.com/player/203382/,203382,12/9/1986,Aron Baynes,http://www.espn.com/nba/player/_/id/2968439/aron-baynes,2968439,12/9/1986,Aron Baynes,https://www.spotrac.com/redirect/player/11850/,11850
Arron Afflalo,https://www.basketball-reference.com/players/a/afflaar01.html,afflaar01,10/15/1985,Arron Afflalo,https://stats.nba.com/player/201167/,201167,10/15/1985,Arron Afflalo,http://www.espn.com/nba/player/_/id/3187/arron-afflalo,3187,10/15/1985,Arron Afflalo,https://www.spotrac.com/redirect/player/2297/,2297
Austin Daye,https://www.basketball-reference.com/players/d/dayeau01.html,dayeau01,6/5/1988,Austin Daye,https://stats.nba.com/player/201948/,201948,6/5/1988,Austin Daye,http://www.espn.com/nba/player/_/id/3976/austin-daye,3976,6/5/1988,Austin Daye,https://www.spotrac.com/redirect/player/6284/,6284
Austin Rivers,https://www.basketball-reference.com/players/r/riverau01.html,riverau01,8/1/1992,Austin Rivers,https://stats.nba.com/player/203085/,203085,8/1/1992,Austin Rivers,http://www.espn.com/nba/player/_/id/6617/austin-rivers,6617,8/1/1992,Austin Rivers,https://www.spotrac.com/redirect/player/10818/,10818
Avery Bradley,https://www.basketball-reference.com/players/b/bradlav01.html,bradlav01,11/26/1990,Avery Bradley,https://stats.nba.com/player/202340/,202340,11/26/1990,Avery Bradley,http://www.espn.com/nba/player/_/id/4240/avery-bradley,4240,11/26/1990,Avery Bradley,https://www.spotrac.com/redirect/player/6901/,6901
Axel Toupane,https://www.basketball-reference.com/players/t/toupaax01.html,toupaax01,7/23/1992,Axel Toupane,https://stats.nba.com/player/1626253/,1626253,7/23/1992,Axel Toupane,http://www.espn.com/nba/player/_/id/3037805/axel-toupane,3037805,7/23/1992,Axel Toupane,https://www.spotrac.com/redirect/player/18042/,18042
B.J. Johnson,https://www.basketball-reference.com/players/j/johnsbj01.html,johnsbj01,12/21/1995,BJ Johnson,https://stats.nba.com/player/1629168/,1629168,12/21/1995,BJ Johnson,http://www.espn.com/nba/player/_/id/3059280/bj-johnson,3059280,12/21/1995,B.J. Johnson,https://www.spotrac.com/redirect/player/28026/,28026
Baron Davis,https://www.basketball-reference.com/players/d/davisba01.html,davisba01,4/13/1979,Baron Davis,https://stats.nba.com/player/1884/,1884,4/13/1979,Baron Davis,http://www.espn.com/nba/player/_/id/194/baron-davis,194,4/13/1979,Baron Davis,https://www.spotrac.com/redirect/player/2317/,2317
Ben Bentil,https://www.basketball-reference.com/players/b/bentibe01.html,bentibe01,3/29/1995,Ben Bentil,https://stats.nba.com/player/1627791/,1627791,3/29/1995,Ben Bentil,http://www.espn.com/nba/player/_/id/3136469/ben-bentil,3136469,3/29/1995,Ben Bentil,https://www.spotrac.com/redirect/player/20257/,20257
Ben Gordon,https://www.basketball-reference.com/players/g/gordobe01.html,gordobe01,4/4/1983,Ben Gordon,https://stats.nba.com/player/2732/,2732,4/4/1983,Ben Gordon,http://www.espn.com/nba/player/_/id/2381/ben-gordon,2381,4/4/1983,Ben Gordon,https://www.spotrac.com/redirect/player/2243/,2243
Ben Hansbrough,https://www.basketball-reference.com/players/h/hansbbe01.html,hansbbe01,12/23/1987,Ben Hansbrough,https://stats.nba.com/player/203162/,203162,12/23/1987,Ben Hansbrough,http://www.espn.com/nba/player/_/id/6657/ben-hansbrough,6657,12/23/1987,Ben Hansbrough,https://www.spotrac.com/redirect/player/11316/,11316
Ben McLemore,https://www.basketball-reference.com/players/m/mclembe01.html,mclembe01,2/11/1993,Ben McLemore,https://stats.nba.com/player/203463/,203463,2/11/1993,Ben McLemore,http://www.espn.com/nba/player/_/id/2578213/ben-mclemore,2578213,2/11/1993,Ben McLemore,https://www.spotrac.com/redirect/player/13320/,13320
Ben Moore,https://www.basketball-reference.com/players/m/moorebe01.html,moorebe01,5/13/1995,Ben Moore,https://stats.nba.com/player/1628500/,1628500,5/13/1995,Ben Moore,http://www.espn.com/nba/player/_/id/3057189/ben-moore,3057189,5/13/1995,Ben Moore,https://www.spotrac.com/redirect/player/23673/,23673
Ben Simmons,https://www.basketball-reference.com/players/s/simmobe01.html,simmobe01,7/20/1996,Ben Simmons,https://stats.nba.com/player/1627732/,1627732,7/20/1996,Ben Simmons,http://www.espn.com/nba/player/_/id/3907387/ben-simmons,3907387,7/20/1996,Ben Simmons,https://www.spotrac.com/redirect/player/20206/,20206
Beno Udrih,https://www.basketball-reference.com/players/u/udrihbe01.html,udrihbe01,7/5/1982,Beno Udrih,https://stats.nba.com/player/2757/,2757,7/5/1982,Beno Udrih,http://www.espn.com/nba/player/_/id/2448/beno-udrih,2448,7/5/1982,Beno Udrih,https://www.spotrac.com/redirect/player/2697/,2697
